experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true,chosen
anchor,dgp1,300,10,10,5,5,RF,1.4492973584240947,0.15026249054512478,
anchor,dgp1,300,10,10,5,5,tree,1.4170611199223313,0.11682658154639747,
anchor,dgp1,300,10,10,5,5,depth 1,1.4163250614879423,0.11632313628944134,
anchor,dgp1,300,10,10,5,5,depth 2,1.41892998671558,0.11911370479559785,
anchor,dgp1,300,10,10,5,5,depth 3,1.422500429970442,0.1225114661897106,
anchor,dgp1,300,10,10,5,5,selected,1.4170611199223313,0.11682658154639747,tree
anchor,dgp1,300,10,10,5,5,oracle depth,,0.11632313628944134,
anchor,dgp1,300,10,10,5,6,RF,1.3748561916222528,0.15378761597798563,
anchor,dgp1,300,10,10,5,6,tree,1.356999356108468,0.1313672842436732,
anchor,dgp1,300,10,10,5,6,depth 1,1.360192227127833,0.13305993608862013,
anchor,dgp1,300,10,10,5,6,depth 2,1.3567862149042036,0.1291173666810812,
anchor,dgp1,300,10,10,5,6,depth 3,1.3572001470832045,0.1322319287660078,
anchor,dgp1,300,10,10,5,6,selected,1.356999356108468,0.1313672842436732,tree
anchor,dgp1,300,10,10,5,6,oracle depth,,0.1291173666810812,
anchor,dgp1,300,10,10,5,7,RF,1.4078861179911604,0.1447014991389005,
anchor,dgp1,300,10,10,5,7,tree,1.3885597195789312,0.12150288593061415,
anchor,dgp1,300,10,10,5,7,depth 1,1.3813972639927712,0.11858948576274769,
anchor,dgp1,300,10,10,5,7,depth 2,1.3810684553196788,0.12023361527713812,
anchor,dgp1,300,10,10,5,7,depth 3,1.3839768484032924,0.1208937481703449,
anchor,dgp1,300,10,10,5,7,selected,1.3885597195789312,0.12150288593061415,tree
anchor,dgp1,300,10,10,5,7,oracle depth,,0.11858948576274769,
anchor,dgp1,300,10,10,5,8,RF,1.3206916617739384,0.1425820397832762,
anchor,dgp1,300,10,10,5,8,tree,1.2919566515090544,0.10363770426710903,
anchor,dgp1,300,10,10,5,8,depth 1,1.2887506127520671,0.10065412785297899,
anchor,dgp1,300,10,10,5,8,depth 2,1.2942367636760939,0.10739533247949058,
anchor,dgp1,300,10,10,5,8,depth 3,1.2974553555152744,0.11153305766099697,
anchor,dgp1,300,10,10,5,8,selected,1.2942367636760939,0.10739533247949058,depth 2
anchor,dgp1,300,10,10,5,8,oracle depth,,0.10065412785297899,
anchor,dgp1,300,10,10,5,9,RF,1.4543379767635831,0.17655639194339076,
anchor,dgp1,300,10,10,5,9,tree,1.402688682423528,0.13104812519369494,
anchor,dgp1,300,10,10,5,9,depth 1,1.400618934604242,0.1271688464984355,
anchor,dgp1,300,10,10,5,9,depth 2,1.414645562396957,0.13641223611542208,
anchor,dgp1,300,10,10,5,9,depth 3,1.4159688208560868,0.14055125322420542,
anchor,dgp1,300,10,10,5,9,selected,1.400618934604242,0.1271688464984355,depth 1
anchor,dgp1,300,10,10,5,9,oracle depth,,0.1271688464984355,
anchor,dgp1,300,10,10,5,10,RF,1.385643480617501,0.12440582221116676,
anchor,dgp1,300,10,10,5,10,tree,1.3738078315563789,0.105707976835919,
anchor,dgp1,300,10,10,5,10,depth 1,1.371843795709831,0.10509386944151712,
anchor,dgp1,300,10,10,5,10,depth 2,1.3701024426625894,0.10584246300328702,
anchor,dgp1,300,10,10,5,10,depth 3,1.3726946810461336,0.108870526532022,
anchor,dgp1,300,10,10,5,10,selected,1.371843795709831,0.10509386944151712,depth 1
anchor,dgp1,300,10,10,5,10,oracle depth,,0.10509386944151712,
anchor,dgp1,300,10,10,5,11,RF,1.3881023591045216,0.1606606574941232,
anchor,dgp1,300,10,10,5,11,tree,1.3509219209645686,0.12890299376462064,
anchor,dgp1,300,10,10,5,11,depth 1,1.353171395343286,0.13097465777502332,
anchor,dgp1,300,10,10,5,11,depth 2,1.3574325858368879,0.13457829791500833,
anchor,dgp1,300,10,10,5,11,depth 3,1.3582087545776842,0.13618246556196606,
anchor,dgp1,300,10,10,5,11,selected,1.3509219209645686,0.12890299376462064,tree
anchor,dgp1,300,10,10,5,11,oracle depth,,0.12890299376462064,
anchor,dgp1,300,10,10,5,12,RF,1.5394518312933365,0.15175190997588556,
anchor,dgp1,300,10,10,5,12,tree,1.4993642338624826,0.11978255758936078,
anchor,dgp1,300,10,10,5,12,depth 1,1.4913069022615935,0.11521386150131162,
anchor,dgp1,300,10,10,5,12,depth 2,1.493609052640535,0.11735683869830281,
anchor,dgp1,300,10,10,5,12,depth 3,1.4982075082087771,0.1211936675521892,
anchor,dgp1,300,10,10,5,12,selected,1.4913069022615935,0.11521386150131162,depth 1
anchor,dgp1,300,10,10,5,12,oracle depth,,0.11521386150131162,
anchor,dgp1,300,10,10,5,13,RF,1.3605091965615368,0.16477603196629761,
anchor,dgp1,300,10,10,5,13,tree,1.3108373499121497,0.10524906709402548,
anchor,dgp1,300,10,10,5,13,depth 1,1.3215003933461287,0.11443778928246108,
anchor,dgp1,300,10,10,5,13,depth 2,1.3206676148203496,0.1156218777079456,
anchor,dgp1,300,10,10,5,13,depth 3,1.331530649029345,0.12680161875508866,
anchor,dgp1,300,10,10,5,13,selected,1.3215003933461287,0.11443778928246108,depth 1
anchor,dgp1,300,10,10,5,13,oracle depth,,0.10524906709402548,
anchor,dgp1,300,10,10,5,14,RF,1.3683121951828598,0.16618029485665686,
anchor,dgp1,300,10,10,5,14,tree,1.3238914026986108,0.11927463878504413,
anchor,dgp1,300,10,10,5,14,depth 1,1.3234957174752062,0.12129871975843985,
anchor,dgp1,300,10,10,5,14,depth 2,1.3294783549775686,0.1290447535941073,
anchor,dgp1,300,10,10,5,14,depth 3,1.3343860763526458,0.1351033551496516,
anchor,dgp1,300,10,10,5,14,selected,1.3234957174752062,0.12129871975843985,depth 1
anchor,dgp1,300,10,10,5,14,oracle depth,,0.11927463878504413,
anchor,dgp1,300,10,10,5,15,RF,1.4109186109633232,0.15091221523705606,
anchor,dgp1,300,10,10,5,15,tree,1.384465601923673,0.11757115263745437,
anchor,dgp1,300,10,10,5,15,depth 1,1.3830538005220843,0.11677414874321315,
anchor,dgp1,300,10,10,5,15,depth 2,1.3819873444611905,0.11709693558844397,
anchor,dgp1,300,10,10,5,15,depth 3,1.3839076868365892,0.12024582927219186,
anchor,dgp1,300,10,10,5,15,selected,1.3830538005220843,0.11677414874321315,depth 1
anchor,dgp1,300,10,10,5,15,oracle depth,,0.11677414874321315,
anchor,dgp1,300,10,10,5,16,RF,1.3174025625205479,0.14256957271424436,
anchor,dgp1,300,10,10,5,16,tree,1.3002535763425913,0.12722733971725195,
anchor,dgp1,300,10,10,5,16,depth 1,1.2949725029279415,0.12209983106281792,
anchor,dgp1,300,10,10,5,16,depth 2,1.2992158867655605,0.12415978781688525,
anchor,dgp1,300,10,10,5,16,depth 3,1.3022208481079558,0.12597203257476464,
anchor,dgp1,300,10,10,5,16,selected,1.3002535763425913,0.12722733971725195,tree
anchor,dgp1,300,10,10,5,16,oracle depth,,0.12209983106281792,
anchor,dgp1,300,10,10,5,17,RF,1.4227534292679227,0.15900596200314943,
anchor,dgp1,300,10,10,5,17,tree,1.393519058252418,0.12019685408788837,
anchor,dgp1,300,10,10,5,17,depth 1,1.3978793003946417,0.11965847073073008,
anchor,dgp1,300,10,10,5,17,depth 2,1.4001032762819965,0.12301355063840609,
anchor,dgp1,300,10,10,5,17,depth 3,1.4033902036580612,0.12767969844654936,
anchor,dgp1,300,10,10,5,17,selected,1.4033902036580612,0.12767969844654936,depth 3
anchor,dgp1,300,10,10,5,17,oracle depth,,0.11965847073073008,
anchor,dgp1,300,10,10,5,18,RF,1.3503064960156062,0.1556623091986934,
anchor,dgp1,300,10,10,5,18,tree,1.3122671721981005,0.12331406623267072,
anchor,dgp1,300,10,10,5,18,depth 1,1.3109230836860755,0.12151737755575023,
anchor,dgp1,300,10,10,5,18,depth 2,1.3153119966794964,0.12552454327170903,
anchor,dgp1,300,10,10,5,18,depth 3,1.321448051248965,0.13010546240999107,
anchor,dgp1,300,10,10,5,18,selected,1.3109230836860755,0.12151737755575023,depth 1
anchor,dgp1,300,10,10,5,18,oracle depth,,0.12151737755575023,
anchor,dgp1,300,10,10,5,19,RF,1.584008360306518,0.20557983229322657,
anchor,dgp1,300,10,10,5,19,tree,1.5444176977696866,0.16968313650467787,
anchor,dgp1,300,10,10,5,19,depth 1,1.5452955198523053,0.16964540591730612,
anchor,dgp1,300,10,10,5,19,depth 2,1.5510912842171796,0.17122363493646411,
anchor,dgp1,300,10,10,5,19,depth 3,1.5539640174478995,0.17496975102458134,
anchor,dgp1,300,10,10,5,19,selected,1.5444176977696866,0.16968313650467787,tree
anchor,dgp1,300,10,10,5,19,oracle depth,,0.16964540591730612,
anchor,dgp1,300,10,500,5,0,RF,1.6621868738562688,0.07597517893159816,
anchor,dgp1,300,10,500,5,0,tree,1.6597783028627437,0.06797590214473738,
anchor,dgp1,300,10,500,5,0,depth 1,1.6561630393760212,0.06613254575133819,
anchor,dgp1,300,10,500,5,0,depth 2,1.6555891899459712,0.06627519702880295,
anchor,dgp1,300,10,500,5,0,depth 3,1.656264655816261,0.06760676863490168,
anchor,dgp1,300,10,500,5,0,selected,1.656264655816261,0.06760676863490168,depth 3
anchor,dgp1,300,10,500,5,0,oracle depth,,0.06613254575133819,
anchor,dgp1,300,10,500,5,1,RF,1.410647315899022,0.0815582133870737,
anchor,dgp1,300,10,500,5,1,tree,1.4005765774138157,0.06920000411555671,
anchor,dgp1,300,10,500,5,1,depth 1,1.4008361617440033,0.06990057625626399,
anchor,dgp1,300,10,500,5,1,depth 2,1.4030497975204452,0.07214976841207056,
anchor,dgp1,300,10,500,5,1,depth 3,1.4043662554297283,0.07346857451248519,
anchor,dgp1,300,10,500,5,1,selected,1.4030497975204452,0.07214976841207056,depth 2
anchor,dgp1,300,10,500,5,1,oracle depth,,0.06920000411555671,
anchor,dgp1,300,10,500,5,2,RF,1.3530905482397098,0.09368873424800238,
anchor,dgp1,300,10,500,5,2,tree,1.3526895811312964,0.09342651184409109,
anchor,dgp1,300,10,500,5,2,depth 1,1.348832190501339,0.09065449718248635,
anchor,dgp1,300,10,500,5,2,depth 2,1.3478327066243156,0.09004077021381578,
anchor,dgp1,300,10,500,5,2,depth 3,1.347814928934478,0.08984398021862099,
anchor,dgp1,300,10,500,5,2,selected,1.347814928934478,0.08984398021862099,depth 3
anchor,dgp1,300,10,500,5,2,oracle depth,,0.08984398021862099,
anchor,dgp1,300,10,500,5,3,RF,1.1965308930253598,0.11227870987697902,
anchor,dgp1,300,10,500,5,3,tree,1.1908892723562066,0.10876358042084368,
anchor,dgp1,300,10,500,5,3,depth 1,1.1885256937291995,0.10401291415891671,
anchor,dgp1,300,10,500,5,3,depth 2,1.1889334714629398,0.10312966986161928,
anchor,dgp1,300,10,500,5,3,depth 3,1.1892109779490907,0.10391617184050547,
anchor,dgp1,300,10,500,5,3,selected,1.1892109779490907,0.10391617184050547,depth 3
anchor,dgp1,300,10,500,5,3,oracle depth,,0.10312966986161928,
anchor,dgp1,300,10,500,5,4,RF,1.280501891352015,0.10475143709901949,
anchor,dgp1,300,10,500,5,4,tree,1.2862969764269292,0.09975437556761854,
anchor,dgp1,300,10,500,5,4,depth 1,1.2799748630724033,0.09597772696837764,
anchor,dgp1,300,10,500,5,4,depth 2,1.2777274374467558,0.0957181126272477,
anchor,dgp1,300,10,500,5,4,depth 3,1.277749904231532,0.09638106989998074,
anchor,dgp1,300,10,500,5,4,selected,1.2862969764269292,0.09975437556761854,tree
anchor,dgp1,300,10,500,5,4,oracle depth,,0.0957181126272477,
anchor,dgp1,300,10,500,5,5,RF,1.351963512766186,0.07198976056195128,
anchor,dgp1,300,10,500,5,5,tree,1.353161043203069,0.0689368850454897,
anchor,dgp1,300,10,500,5,5,depth 1,1.3505353664434334,0.0676519767248142,
anchor,dgp1,300,10,500,5,5,depth 2,1.3499761523907106,0.06784476904581495,
anchor,dgp1,300,10,500,5,5,depth 3,1.3491988303598912,0.0677648745638091,
anchor,dgp1,300,10,500,5,5,selected,1.3505353664434334,0.0676519767248142,depth 1
anchor,dgp1,300,10,500,5,5,oracle depth,,0.0676519767248142,
anchor,dgp1,300,10,500,5,6,RF,1.4932307062323324,0.08207794655742837,
anchor,dgp1,300,10,500,5,6,tree,1.4762484569348426,0.06777360146394493,
anchor,dgp1,300,10,500,5,6,depth 1,1.4783982962884177,0.06741795687445307,
anchor,dgp1,300,10,500,5,6,depth 2,1.48080888518955,0.06955134615368022,
anchor,dgp1,300,10,500,5,6,depth 3,1.4819503988038765,0.07099352487816289,
anchor,dgp1,300,10,500,5,6,selected,1.48080888518955,0.06955134615368022,depth 2
anchor,dgp1,300,10,500,5,6,oracle depth,,0.06741795687445307,
anchor,dgp1,300,10,500,5,7,RF,1.3541742426092633,0.09412426147935113,
anchor,dgp1,300,10,500,5,7,tree,1.3421356413895402,0.09476488066755549,
anchor,dgp1,300,10,500,5,7,depth 1,1.3377467730005272,0.0884177685069515,
anchor,dgp1,300,10,500,5,7,depth 2,1.3385009365850506,0.08695887139152543,
anchor,dgp1,300,10,500,5,7,depth 3,1.3396162998772643,0.0867079927840013,
anchor,dgp1,300,10,500,5,7,selected,1.3421356413895402,0.09476488066755549,tree
anchor,dgp1,300,10,500,5,7,oracle depth,,0.0867079927840013,
anchor,dgp1,300,10,500,5,8,RF,1.2823714947022464,0.10319023049133232,
anchor,dgp1,300,10,500,5,8,tree,1.2785435406801735,0.0969262913164326,
anchor,dgp1,300,10,500,5,8,depth 1,1.276899839531529,0.09532843570672828,
anchor,dgp1,300,10,500,5,8,depth 2,1.2768737158638666,0.09586639505275547,
anchor,dgp1,300,10,500,5,8,depth 3,1.277290405161211,0.09647247392085226,
anchor,dgp1,300,10,500,5,8,selected,1.2785435406801735,0.0969262913164326,tree
anchor,dgp1,300,10,500,5,8,oracle depth,,0.09532843570672828,
anchor,dgp1,300,10,500,5,9,RF,1.1715989832998905,0.10010575090301012,
anchor,dgp1,300,10,500,5,9,tree,1.1686978367396408,0.09825372006845949,
anchor,dgp1,300,10,500,5,9,depth 1,1.1686546067306312,0.0979835143820161,
anchor,dgp1,300,10,500,5,9,depth 2,1.1681454026650022,0.09734134173308384,
anchor,dgp1,300,10,500,5,9,depth 3,1.167849628515742,0.09707227977561071,
anchor,dgp1,300,10,500,5,9,selected,1.1686978367396408,0.09825372006845949,tree
anchor,dgp1,300,10,500,5,9,oracle depth,,0.09707227977561071,
anchor,dgp1,300,10,500,5,10,RF,1.2103270356090783,0.08585228189245121,
anchor,dgp1,300,10,500,5,10,tree,1.197682969457011,0.07832569022868847,
anchor,dgp1,300,10,500,5,10,depth 1,1.1976928439394607,0.07793092242753275,
anchor,dgp1,300,10,500,5,10,depth 2,1.198751776900035,0.07904892719556067,
anchor,dgp1,300,10,500,5,10,depth 3,1.1993628596225,0.07926788797995094,
anchor,dgp1,300,10,500,5,10,selected,1.197682969457011,0.07832569022868847,tree
anchor,dgp1,300,10,500,5,10,oracle depth,,0.07793092242753275,
anchor,dgp1,300,10,500,5,11,RF,1.3394918881578173,0.11573305987213439,
anchor,dgp1,300,10,500,5,11,tree,1.319781490171403,0.08612131607821884,
anchor,dgp1,300,10,500,5,11,depth 1,1.3232376332879194,0.09122775060537716,
anchor,dgp1,300,10,500,5,11,depth 2,1.3265982271368177,0.09625908169610746,
anchor,dgp1,300,10,500,5,11,depth 3,1.3287825366969366,0.09928320308875721,
anchor,dgp1,300,10,500,5,11,selected,1.319781490171403,0.08612131607821884,tree
anchor,dgp1,300,10,500,5,11,oracle depth,,0.08612131607821884,
anchor,dgp1,300,10,500,5,12,RF,1.227526352759952,0.06795471288492327,
anchor,dgp1,300,10,500,5,12,tree,1.2301110773008586,0.0652136333481526,
anchor,dgp1,300,10,500,5,12,depth 1,1.226303197733127,0.06203212523586393,
anchor,dgp1,300,10,500,5,12,depth 2,1.2257640604409816,0.0620246389555889,
anchor,dgp1,300,10,500,5,12,depth 3,1.2254095465936192,0.0622388238532071,
anchor,dgp1,300,10,500,5,12,selected,1.226303197733127,0.06203212523586393,depth 1
anchor,dgp1,300,10,500,5,12,oracle depth,,0.0620246389555889,
anchor,dgp1,300,10,500,5,13,RF,1.3408238622659654,0.0882575906852093,
anchor,dgp1,300,10,500,5,13,tree,1.339032682612917,0.07926140592025813,
anchor,dgp1,300,10,500,5,13,depth 1,1.3391049369423296,0.07978622833518748,
anchor,dgp1,300,10,500,5,13,depth 2,1.3381986320084696,0.08014504338903113,
anchor,dgp1,300,10,500,5,13,depth 3,1.3378241152961219,0.08080704902289923,
anchor,dgp1,300,10,500,5,13,selected,1.3381986320084696,0.08014504338903113,depth 2
anchor,dgp1,300,10,500,5,13,oracle depth,,0.07926140592025813,
anchor,dgp1,300,10,500,5,14,RF,1.3979787506701833,0.11220441897701121,
anchor,dgp1,300,10,500,5,14,tree,1.3902016825063541,0.10750542875614523,
anchor,dgp1,300,10,500,5,14,depth 1,1.3911711927266337,0.10712227267141289,
anchor,dgp1,300,10,500,5,14,depth 2,1.3936752277358255,0.10926340375784202,
anchor,dgp1,300,10,500,5,14,depth 3,1.3932782294067432,0.10921432011179642,
anchor,dgp1,300,10,500,5,14,selected,1.3902016825063541,0.10750542875614523,tree
anchor,dgp1,300,10,500,5,14,oracle depth,,0.10712227267141289,
anchor,dgp1,300,10,500,5,15,RF,1.5161658492332644,0.07547494643948846,
anchor,dgp1,300,10,500,5,15,tree,1.5279673076956755,0.08063328032941877,
anchor,dgp1,300,10,500,5,15,depth 1,1.522017462650511,0.07700344024621258,
anchor,dgp1,300,10,500,5,15,depth 2,1.5195853149956193,0.07589416455876455,
anchor,dgp1,300,10,500,5,15,depth 3,1.5182756099388328,0.07502710590480707,
anchor,dgp1,300,10,500,5,15,selected,1.5279673076956755,0.08063328032941877,tree
anchor,dgp1,300,10,500,5,15,oracle depth,,0.07502710590480707,
anchor,dgp1,300,10,500,5,16,RF,1.2519689928735502,0.09792975917350073,
anchor,dgp1,300,10,500,5,16,tree,1.2520438449238398,0.08497453601092415,
anchor,dgp1,300,10,500,5,16,depth 1,1.2467424315161448,0.08267943615737826,
anchor,dgp1,300,10,500,5,16,depth 2,1.243865183947329,0.08361972433642757,
anchor,dgp1,300,10,500,5,16,depth 3,1.2436692776403362,0.08536504528185299,
anchor,dgp1,300,10,500,5,16,selected,1.2467424315161448,0.08267943615737826,depth 1
anchor,dgp1,300,10,500,5,16,oracle depth,,0.08267943615737826,
anchor,dgp1,300,10,500,5,17,RF,1.3889652824035994,0.07585417076552217,
anchor,dgp1,300,10,500,5,17,tree,1.3757702617864398,0.06586650248638008,
anchor,dgp1,300,10,500,5,17,depth 1,1.3756645232014586,0.06459783457083704,
anchor,dgp1,300,10,500,5,17,depth 2,1.377002660230429,0.06559751203007619,
anchor,dgp1,300,10,500,5,17,depth 3,1.3781927257207323,0.06691180605202578,
anchor,dgp1,300,10,500,5,17,selected,1.3756645232014586,0.06459783457083704,depth 1
anchor,dgp1,300,10,500,5,17,oracle depth,,0.06459783457083704,
anchor,dgp1,300,10,500,5,18,RF,1.292855835855506,0.06861159261586168,
anchor,dgp1,300,10,500,5,18,tree,1.279053689572567,0.06225125390721932,
anchor,dgp1,300,10,500,5,18,depth 1,1.2780732364782428,0.058842223512791614,
anchor,dgp1,300,10,500,5,18,depth 2,1.2794752368557227,0.05889188837642778,
anchor,dgp1,300,10,500,5,18,depth 3,1.2808686417926702,0.05993323558901946,
anchor,dgp1,300,10,500,5,18,selected,1.2808686417926702,0.05993323558901946,depth 3
anchor,dgp1,300,10,500,5,18,oracle depth,,0.058842223512791614,
anchor,dgp1,300,10,500,5,19,RF,1.2000709120969908,0.08676003852738598,
anchor,dgp1,300,10,500,5,19,tree,1.1844736453137066,0.0740747482439326,
anchor,dgp1,300,10,500,5,19,depth 1,1.1850282651342174,0.0742623607585474,
anchor,dgp1,300,10,500,5,19,depth 2,1.1879409904443297,0.07667252958677706,
anchor,dgp1,300,10,500,5,19,depth 3,1.18919958969982,0.07765577781094167,
anchor,dgp1,300,10,500,5,19,selected,1.1850282651342174,0.0742623607585474,depth 1
anchor,dgp1,300,10,500,5,19,oracle depth,,0.0740747482439326,
anchor,dgp1,1200,10,10,5,0,RF,1.297450657788946,0.12499709748643363,
anchor,dgp1,1200,10,10,5,0,tree,1.271414374195224,0.0894006775002514,
anchor,dgp1,1200,10,10,5,0,depth 1,1.269041307915968,0.08532952839733855,
anchor,dgp1,1200,10,10,5,0,depth 2,1.2676689238884769,0.08521620319737976,
anchor,dgp1,1200,10,10,5,0,depth 3,1.2691069587446182,0.08611999599220173,
anchor,dgp1,1200,10,10,5,0,selected,1.269041307915968,0.08532952839733855,depth 1
anchor,dgp1,1200,10,10,5,0,oracle depth,,0.08521620319737976,
anchor,dgp1,1200,10,10,5,1,RF,1.25578526343854,0.12816068562295382,
anchor,dgp1,1200,10,10,5,1,tree,1.2310962961858758,0.10170890102002142,
anchor,dgp1,1200,10,10,5,1,depth 1,1.2267345842777937,0.09711037515503443,
anchor,dgp1,1200,10,10,5,1,depth 2,1.226727084650584,0.09681113703049304,
anchor,dgp1,1200,10,10,5,1,depth 3,1.225442778480736,0.0975870700634319,
anchor,dgp1,1200,10,10,5,1,selected,1.226727084650584,0.09681113703049304,depth 2
anchor,dgp1,1200,10,10,5,1,oracle depth,,0.09681113703049304,
anchor,dgp1,1200,10,10,5,2,RF,1.205431303117961,0.11606285962966054,
anchor,dgp1,1200,10,10,5,2,tree,1.180393992104922,0.09433453089049013,
anchor,dgp1,1200,10,10,5,2,depth 1,1.1778104259538729,0.09157116003555736,
anchor,dgp1,1200,10,10,5,2,depth 2,1.1746920894273547,0.08760786442117963,
anchor,dgp1,1200,10,10,5,2,depth 3,1.1753170941880493,0.08771473894126386,
anchor,dgp1,1200,10,10,5,2,selected,1.1746920894273547,0.08760786442117963,depth 2
anchor,dgp1,1200,10,10,5,2,oracle depth,,0.08760786442117963,
anchor,dgp1,1200,10,10,5,3,RF,1.288561417271245,0.14234490883219086,
anchor,dgp1,1200,10,10,5,3,tree,1.249955170643854,0.11268231539675662,
anchor,dgp1,1200,10,10,5,3,depth 1,1.2471629728341305,0.10857029956296146,
anchor,dgp1,1200,10,10,5,3,depth 2,1.2459083576657672,0.10734918651840565,
anchor,dgp1,1200,10,10,5,3,depth 3,1.248099421208845,0.10678971179258251,
anchor,dgp1,1200,10,10,5,3,selected,1.2471629728341305,0.10857029956296146,depth 1
anchor,dgp1,1200,10,10,5,3,oracle depth,,0.10678971179258251,
anchor,dgp1,1200,10,10,5,4,RF,1.5142956459466632,0.1367731997962231,
anchor,dgp1,1200,10,10,5,4,tree,1.479910956049738,0.1078170253215355,
anchor,dgp1,1200,10,10,5,4,depth 1,1.4706444890444563,0.10011788278017233,
anchor,dgp1,1200,10,10,5,4,depth 2,1.4671220005792505,0.09785119231287956,
anchor,dgp1,1200,10,10,5,4,depth 3,1.470985525473071,0.10021813472439194,
anchor,dgp1,1200,10,10,5,4,selected,1.4671220005792505,0.09785119231287956,depth 2
anchor,dgp1,1200,10,10,5,4,oracle depth,,0.09785119231287956,
anchor,dgp1,1200,10,10,5,5,RF,1.3516705064294514,0.13904126950715356,
anchor,dgp1,1200,10,10,5,5,tree,1.3193415324883613,0.10851729080975184,
anchor,dgp1,1200,10,10,5,5,depth 1,1.3149973248422475,0.10338258806674916,
anchor,dgp1,1200,10,10,5,5,depth 2,1.3143651441191992,0.10218804589819873,
anchor,dgp1,1200,10,10,5,5,depth 3,1.3183842926016383,0.10406429185218496,
anchor,dgp1,1200,10,10,5,5,selected,1.3183842926016383,0.10406429185218496,depth 3
anchor,dgp1,1200,10,10,5,5,oracle depth,,0.10218804589819873,
anchor,dgp1,1200,10,10,5,6,RF,1.5445003931179944,0.12427394121617046,
anchor,dgp1,1200,10,10,5,6,tree,1.5244520931613366,0.0969203285992957,
anchor,dgp1,1200,10,10,5,6,depth 1,1.5196320393685443,0.09306949981337588,
anchor,dgp1,1200,10,10,5,6,depth 2,1.5188097365106799,0.09384024820380758,
anchor,dgp1,1200,10,10,5,6,depth 3,1.5170530542167102,0.09457102040547534,
anchor,dgp1,1200,10,10,5,6,selected,1.5170530542167102,0.09457102040547534,depth 3
anchor,dgp1,1200,10,10,5,6,oracle depth,,0.09306949981337588,
anchor,dgp1,1200,10,10,5,7,RF,1.2329368342537788,0.14685042404552137,
anchor,dgp1,1200,10,10,5,7,tree,1.208615111021437,0.11773127949277756,
anchor,dgp1,1200,10,10,5,7,depth 1,1.2028439025881192,0.11239702381420098,
anchor,dgp1,1200,10,10,5,7,depth 2,1.2010422012001558,0.10966301379777682,
anchor,dgp1,1200,10,10,5,7,depth 3,1.2045204891320678,0.11189834084299756,
